id,bulletin_date,patch_level,category,published,modified,commit_start,commit_end,nvd_severity,nvd_score,nvd_severity_v3,nvd_score_v3
CVE-2021-0506,2021-06-07 00:00:00,2021-06-01,system,2021-06-21,2021-06-21,2021-03-11 12:10:18+08:00,2021-04-12 23:38:43+00:00,MEDIUM,6.9,HIGH,7.3
CVE-2021-0523,2021-06-07 00:00:00,2021-06-01,system,2021-06-21,2021-06-21,2021-01-29 17:24:51+08:00,2021-02-03 10:00:07+00:00,MEDIUM,4.4,HIGH,7.3
CVE-2021-0504,2021-06-07 00:00:00,2021-06-01,system,2021-06-21,2021-06-21,2021-02-10 14:39:33-08:00,2021-02-12 22:52:19+00:00,LOW,3.3,MEDIUM,6.5
CVE-2021-0517,2021-06-07 00:00:00,2021-06-01,system,2021-06-21,2021-06-21,2021-01-11 22:27:57+09:00,2021-01-29 01:23:32+00:00,MEDIUM,5.0,HIGH,7.5
CVE-2021-0522,2021-06-07 00:00:00,2021-06-01,system,2021-06-21,2021-06-21,2021-02-19 20:05:20+08:00,2021-03-11 12:43:16+00:00,MEDIUM,5.0,HIGH,7.5
CVE-2021-0513,2021-06-07 00:00:00,2021-06-01,framework,2021-06-21,2021-06-21,2020-11-18 17:22:45-08:00,2021-03-18 08:11:45-07:00,MEDIUM,4.6,HIGH,7.8
CVE-2020-26555,2021-06-07 00:00:00,2021-06-01,system,2021-05-24,2021-06-08,2020-12-07 13:11:10-08:00,2020-12-07 21:13:07+00:00,MEDIUM,4.8,MEDIUM,5.4
CVE-2020-26558,2021-06-07 00:00:00,2021-06-01,system,2021-05-24,2022-09-29,2021-03-03 13:49:21-08:00,2021-03-03 13:49:35-08:00,MEDIUM,4.3,MEDIUM,4.2
CVE-2021-0478,2021-06-07 00:00:00,2021-06-01,system,2021-06-21,2021-06-21,2021-03-25 17:19:30-04:00,2021-04-01 18:16:59+00:00,HIGH,7.2,HIGH,7.8
CVE-2020-14305,2021-06-07 00:00:00,2021-06-01,kernel components,2020-12-01,2020-12-10,2020-06-09 10:53:22+03:00,2020-07-09 09:35:57+02:00,HIGH,8.3,HIGH,8.1
CVE-2021-0512,2021-06-07 00:00:00,2021-06-01,kernel components,2021-06-21,2021-06-21,2020-12-05 00:48:48+00:00,2021-01-18 09:09:57+01:00,MEDIUM,4.6,HIGH,7.8
CVE-2021-0525,2021-06-07 00:00:00,2021-06-01,mediatek components,2021-06-21,2021-06-21,,,MEDIUM,4.6,HIGH,7.8
CVE-2021-0526,2021-06-07 00:00:00,2021-06-01,mediatek components,2021-06-21,2021-06-21,,,MEDIUM,4.6,HIGH,7.8
CVE-2021-0527,2021-06-07 00:00:00,2021-06-01,mediatek components,2021-06-21,2021-06-21,,,MEDIUM,4.6,HIGH,7.8
CVE-2021-0528,2021-06-07 00:00:00,2021-06-01,mediatek components,2021-06-21,2021-06-21,,,MEDIUM,4.6,HIGH,7.8
CVE-2021-0529,2021-06-07 00:00:00,2021-06-01,mediatek components,2021-06-21,2021-06-21,,,MEDIUM,4.6,HIGH,7.8
CVE-2021-0530,2021-06-07 00:00:00,2021-06-01,mediatek components,2021-06-21,2021-06-21,,,MEDIUM,4.6,HIGH,7.8
CVE-2021-0531,2021-06-07 00:00:00,2021-06-01,mediatek components,2021-06-21,2021-06-21,,,MEDIUM,4.6,HIGH,7.8
CVE-2021-0532,2021-06-07 00:00:00,2021-06-01,mediatek components,2021-06-21,2021-06-21,,,MEDIUM,4.4,HIGH,7.0
CVE-2021-0533,2021-06-07 00:00:00,2021-06-01,mediatek components,2021-06-21,2021-06-21,,,MEDIUM,4.4,HIGH,7.0
CVE-2020-11267,2021-06-07 00:00:00,2021-06-01,qualcomm components,2021-06-09,2021-06-09,2020-08-10 23:10:50+00:00,2020-11-03 09:16:04+00:00,MEDIUM,4.6,HIGH,7.8
CVE-2020-11176,2021-06-07 00:00:00,2021-06-01,qualcomm closed-source components,2021-06-09,2021-06-09,,,HIGH,10.0,CRITICAL,9.8
CVE-2020-11291,2021-06-07 00:00:00,2021-06-01,qualcomm closed-source components,2021-06-09,2021-06-09,,,HIGH,10.0,CRITICAL,9.8
CVE-2020-26558,2021-06-07 00:00:00,2021-06-01,qualcomm closed-source components,2021-05-24,2022-09-29,,,MEDIUM,4.3,MEDIUM,4.2
CVE-2020-11292,2021-06-07 00:00:00,2021-06-01,qualcomm closed-source components,2021-06-09,2021-06-09,,,HIGH,7.2,HIGH,7.8
CVE-2020-11298,2021-06-07 00:00:00,2021-06-01,qualcomm closed-source components,2021-06-09,2021-06-09,,,MEDIUM,6.9,HIGH,7.0
CVE-2020-11304,2021-06-07 00:00:00,2021-06-01,qualcomm closed-source components,2021-06-09,2021-06-09,,,LOW,3.6,HIGH,7.1
CVE-2020-11306,2021-06-07 00:00:00,2021-06-01,qualcomm closed-source components,2021-06-09,2021-06-09,,,MEDIUM,4.6,HIGH,7.8
CVE-2020-26555,2021-06-07 00:00:00,2021-06-01,qualcomm closed-source components,2021-05-24,2021-06-08,,,MEDIUM,4.8,MEDIUM,5.4
CVE-2021-1900,2021-06-07 00:00:00,2021-06-01,qualcomm closed-source components,2021-06-09,2021-06-09,,,MEDIUM,4.4,HIGH,7.0
CVE-2021-1925,2021-06-07 00:00:00,2021-06-01,qualcomm closed-source components,2021-05-07,2021-05-07,,,HIGH,7.8,HIGH,7.5
CVE-2021-1937,2021-06-07 00:00:00,2021-06-01,qualcomm closed-source components,2021-06-09,2021-06-09,,,MEDIUM,5.0,HIGH,7.5
CVE-2021-0703,2021-10-04 00:00:00,2021-10-01,android runtime,2021-10-22,2021-10-22,2021-05-13 20:18:14-07:00,2021-08-14 00:58:55+00:00,HIGH,7.2,MEDIUM,6.8
CVE-2021-0652,2021-10-04 00:00:00,2021-10-01,framework,2021-10-22,2021-10-22,2021-04-22 16:55:09-04:00,2021-08-14 00:58:24+00:00,HIGH,7.2,HIGH,7.8
CVE-2021-0705,2021-10-04 00:00:00,2021-10-01,framework,2021-10-22,2021-10-22,2021-05-26 16:25:39+01:00,2021-08-14 00:58:21+00:00,HIGH,7.2,HIGH,7.8
CVE-2021-0708,2021-10-04 00:00:00,2021-10-01,framework,2021-10-22,2021-10-22,2021-06-07 15:02:45-07:00,2021-06-30 23:58:49+00:00,HIGH,7.2,HIGH,7.8
CVE-2020-15358,2021-10-04 00:00:00,2021-10-01,framework,2020-06-27,2022-04-19,2021-07-12 20:53:12+01:00,2021-08-14 00:58:11+00:00,LOW,2.1,MEDIUM,5.5
CVE-2021-0702,2021-10-04 00:00:00,2021-10-01,framework,2021-10-22,2021-10-22,2021-07-15 10:09:06+00:00,2021-08-14 00:58:52+00:00,LOW,1.9,MEDIUM,5.5
CVE-2021-0651,2021-10-04 00:00:00,2021-10-01,framework,2021-10-22,2021-10-22,2021-07-30 15:52:05+08:00,2021-08-14 00:58:33+00:00,MEDIUM,4.7,MEDIUM,5.5
CVE-2021-0483,2021-10-04 00:00:00,2021-10-01,media framework,2021-10-22,2021-10-22,2021-04-07 06:30:50+00:00,2021-08-14 00:58:16+00:00,MEDIUM,4.4,HIGH,7.8
CVE-2021-0870,2021-10-04 00:00:00,2021-10-01,system,2021-10-22,2021-10-29,,,HIGH,9.3,HIGH,8.1
CVE-2020-29660,2021-10-04 00:00:00,2021-10-01,kernel components,2020-12-09,2021-11-12,2020-12-03 02:25:05+01:00,2020-12-04 17:39:58+01:00,LOW,2.1,MEDIUM,4.4
CVE-2020-10768,2021-10-04 00:00:00,2021-10-01,kernel components,2020-09-15,2020-09-15,2020-06-07 05:44:19-07:00,2020-06-09 10:50:55+02:00,LOW,2.1,MEDIUM,5.5
CVE-2021-29647,2021-10-04 00:00:00,2021-10-01,kernel components,2021-03-30,2021-06-22,2021-03-12 08:59:48-08:00,2021-03-14 14:28:22-07:00,LOW,2.1,MEDIUM,5.5
CVE-2021-27666,2021-10-04 00:00:00,2021-10-01,telecommunication,,,,,,,,
CVE-2020-11264,2021-10-04 00:00:00,2021-10-01,qualcomm components,2021-09-08,2021-09-08,2021-02-10 07:47:15+00:00,2021-05-11 02:03:03+00:00,HIGH,10.0,CRITICAL,9.8
CVE-2020-11301,2021-10-04 00:00:00,2021-10-01,qualcomm components,2021-09-08,2021-09-08,2021-01-03 08:27:49+00:00,2021-05-18 19:15:53+00:00,MEDIUM,5.0,HIGH,7.5
CVE-2020-24587,2021-10-04 00:00:00,2021-10-01,qualcomm components,2021-05-11,2021-10-28,2021-02-01 08:07:00+00:00,2021-05-25 21:15:45+00:00,LOW,1.8,LOW,2.6
CVE-2020-24588,2021-10-04 00:00:00,2021-10-01,qualcomm components,2021-05-11,2021-10-28,2020-11-15 15:43:32+00:00,2021-06-01 02:02:57+00:00,LOW,2.9,LOW,3.5
CVE-2020-26139,2021-10-04 00:00:00,2021-10-01,qualcomm components,2021-05-11,2021-10-28,2021-01-28 13:13:22+00:00,2021-06-01 02:03:09+00:00,LOW,2.9,MEDIUM,5.3
CVE-2020-26141,2021-10-04 00:00:00,2021-10-01,qualcomm components,2021-05-11,2021-10-28,2021-01-22 05:54:05+00:00,2021-05-21 06:55:58+00:00,LOW,3.3,MEDIUM,6.5
CVE-2020-26145,2021-10-04 00:00:00,2021-10-01,qualcomm components,2021-05-11,2021-07-13,2021-02-02 15:03:05+00:00,2021-05-19 06:01:05+00:00,LOW,3.3,MEDIUM,6.5
CVE-2020-26146,2021-10-04 00:00:00,2021-10-01,qualcomm components,2021-05-11,2021-10-28,2021-02-23 09:21:04+00:00,2021-04-02 05:21:30+00:00,LOW,2.9,MEDIUM,5.3
CVE-2021-1977,2021-10-04 00:00:00,2021-10-01,qualcomm components,2021-10-20,2021-10-20,2021-01-29 07:29:07+00:00,2021-03-04 07:32:12+00:00,MEDIUM,6.4,CRITICAL,9.1
CVE-2021-1980,2021-10-04 00:00:00,2021-10-01,qualcomm components,2021-10-20,2021-10-20,,,MEDIUM,6.4,CRITICAL,9.1
CVE-2021-30305,2021-10-04 00:00:00,2021-10-01,qualcomm components,2021-10-20,2021-10-20,,,MEDIUM,4.6,HIGH,7.8
CVE-2021-30306,2021-10-04 00:00:00,2021-10-01,qualcomm components,2021-10-20,2021-10-20,,,LOW,3.6,HIGH,7.1
CVE-2021-30312,2021-10-04 00:00:00,2021-10-01,qualcomm components,2021-10-20,2021-10-20,2021-03-07 11:06:08+00:00,2021-06-07 07:30:38+00:00,MEDIUM,5.0,HIGH,7.5
CVE-2020-11303,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-10-20,2021-10-20,,,MEDIUM,5.0,HIGH,8.6
CVE-2020-26140,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-05-11,2021-10-28,,,LOW,3.3,MEDIUM,6.5
CVE-2020-26147,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-05-11,2021-10-28,,,LOW,3.2,MEDIUM,5.4
CVE-2021-1913,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-10-20,2021-10-20,,,HIGH,7.2,HIGH,8.4
CVE-2021-1917,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-10-20,2021-10-20,,,HIGH,7.2,HIGH,8.4
CVE-2021-1932,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-10-20,2021-10-20,,,HIGH,7.2,HIGH,8.4
CVE-2021-1936,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-10-20,2021-10-20,,,HIGH,7.8,HIGH,7.5
CVE-2021-1949,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-10-20,2021-10-20,,,HIGH,7.2,HIGH,8.4
CVE-2021-1959,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-10-20,2021-10-20,,,HIGH,7.2,HIGH,7.8
CVE-2021-1983,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-10-20,2021-10-20,,,HIGH,7.2,HIGH,7.8
CVE-2021-1984,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-10-20,2021-10-20,,,HIGH,7.2,HIGH,7.8
CVE-2021-1985,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-10-20,2021-10-20,,,LOW,3.6,HIGH,7.1
CVE-2021-30256,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-10-20,2021-10-20,,,HIGH,7.2,HIGH,7.8
CVE-2021-30257,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-10-20,2021-10-20,,,HIGH,7.2,HIGH,7.8
CVE-2021-30258,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-10-20,2021-10-20,,,HIGH,7.2,HIGH,7.8
CVE-2021-30288,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-10-20,2021-10-20,,,HIGH,7.2,HIGH,7.8
CVE-2021-30291,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-10-20,2021-10-20,,,HIGH,7.2,HIGH,7.8
CVE-2021-30292,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-10-20,2021-10-20,,,HIGH,7.2,HIGH,7.8
CVE-2021-30297,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-10-20,2021-10-20,,,LOW,3.6,HIGH,7.1
CVE-2021-30302,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-10-20,2021-10-20,,,MEDIUM,5.0,HIGH,7.5
CVE-2021-30310,2021-10-04 00:00:00,2021-10-01,qualcomm closed-source components,2021-10-20,2021-10-20,,,MEDIUM,5.0,HIGH,7.5
CVE-2019-2123,2019-09-03 00:00:00,2019-09-01,framework,2019-09-05,2019-09-05,2019-05-15 22:58:15-07:00,2019-06-03 17:28:27-07:00,MEDIUM,4.6,HIGH,7.8
CVE-2019-2174,2019-09-03 00:00:00,2019-09-01,framework,2019-09-05,2019-09-05,2019-06-06 16:43:41-07:00,2019-07-01 17:52:50+00:00,HIGH,7.2,HIGH,7.8
CVE-2019-2175,2019-09-03 00:00:00,2019-09-01,framework,2019-09-05,2019-09-05,2019-06-18 14:54:21-07:00,2019-06-19 12:04:02-07:00,MEDIUM,4.4,HIGH,7.8
CVE-2019-9254,2019-09-03 00:00:00,2019-09-01,framework,2019-09-05,2019-09-05,2019-04-22 17:54:20-04:00,2019-04-24 16:34:09-04:00,HIGH,7.2,HIGH,7.8
CVE-2019-2103,2019-09-03 00:00:00,2019-09-01,framework,2019-09-05,2019-09-05,2019-02-15 15:48:11-08:00,2019-05-14 04:57:31+00:00,LOW,2.1,MEDIUM,5.5
CVE-2019-2176,2019-09-03 00:00:00,2019-09-01,media framework,2019-09-05,2019-09-05,2019-06-05 15:27:00-07:00,2019-06-07 16:23:17-07:00,HIGH,9.3,HIGH,7.8
CVE-2019-2108,2019-09-03 00:00:00,2019-09-01,media framework,2019-09-05,2019-09-05,2019-03-29 13:49:50-07:00,2019-05-14 04:56:43+00:00,HIGH,9.3,HIGH,7.8
CVE-2019-2177,2019-09-03 00:00:00,2019-09-01,system,2019-09-05,2019-09-05,2019-07-09 15:09:56+08:00,2019-07-09 15:09:56+08:00,MEDIUM,6.8,HIGH,8.8
CVE-2019-2115,2019-09-03 00:00:00,2019-09-01,system,2019-09-05,2019-09-05,2019-03-28 14:51:45-07:00,2019-06-20 22:31:06+00:00,HIGH,7.2,HIGH,7.8
CVE-2019-2178,2019-09-03 00:00:00,2019-09-01,system,2019-09-05,2019-09-05,2019-07-09 16:17:23+08:00,2019-07-09 10:14:10+00:00,HIGH,7.2,HIGH,7.8
CVE-2019-2179,2019-09-03 00:00:00,2019-09-01,system,2019-09-05,2019-09-05,2019-06-06 19:07:54+08:00,2019-06-13 02:35:53+00:00,MEDIUM,4.3,MEDIUM,5.5
CVE-2019-2180,2019-09-03 00:00:00,2019-09-01,system,2019-09-05,2019-09-05,2019-06-20 14:12:54-07:00,2019-06-21 17:20:50+00:00,LOW,2.1,MEDIUM,5.5
CVE-2019-2124,2019-09-03 00:00:00,2019-09-01,system,2019-09-05,2019-09-05,2019-05-13 11:57:09-07:00,2019-06-26 23:35:27+00:00,LOW,2.1,MEDIUM,5.5
CVE-2018-20669,2019-09-03 00:00:00,2019-09-01,kernel components,2019-03-18,2020-09-15,,,HIGH,7.2,HIGH,7.8
CVE-2019-2181,2019-09-03 00:00:00,2019-09-01,kernel components,2019-09-05,2019-10-23,,,MEDIUM,6.9,HIGH,7.8
CVE-2018-6240,2019-09-03 00:00:00,2019-09-01,nvidia components,2019-09-06,2019-12-05,,,HIGH,7.2,HIGH,7.8
CVE-2018-6240,2019-09-03 00:00:00,2019-09-01,nvidia components,2019-09-06,2019-12-05,,,HIGH,7.2,HIGH,7.8
CVE-2017-5715,2019-09-03 00:00:00,2019-09-01,nvidia components,2018-01-04,2021-08-16,,,LOW,1.9,MEDIUM,5.6
CVE-2017-17768,2019-09-03 00:00:00,2019-09-01,qualcomm components,,,2017-10-24 06:57:53+00:00,2017-11-13 10:17:45+00:00,,,,
CVE-2019-2283,2019-09-03 00:00:00,2019-09-01,qualcomm components,2019-11-06,2019-11-06,2019-02-04 12:46:49+00:00,2019-02-18 05:29:45+00:00,HIGH,10.0,CRITICAL,9.8
CVE-2019-2316,2019-09-03 00:00:00,2019-09-01,qualcomm components,2019-07-25,2019-07-25,,,HIGH,7.2,HIGH,8.8
CVE-2019-10491,2019-09-03 00:00:00,2019-09-01,qualcomm components,2019-11-06,2019-11-06,2019-03-05 10:22:15+00:00,2019-04-02 10:33:20+00:00,MEDIUM,4.6,HIGH,7.8
CVE-2019-10505,2019-09-03 00:00:00,2019-09-01,qualcomm components,2019-11-06,2019-11-06,2018-04-27 17:44:36+00:00,2018-07-18 09:04:23+00:00,HIGH,7.5,CRITICAL,9.8
CVE-2019-10505,2019-09-03 00:00:00,2019-09-01,qualcomm components,2019-11-06,2019-11-06,2018-05-23 16:57:31+00:00,2018-07-18 09:04:42+00:00,HIGH,7.5,CRITICAL,9.8
CVE-2019-2323,2019-09-03 00:00:00,2019-09-01,qualcomm components,2019-11-06,2019-11-06,2019-01-02 15:25:34+00:00,2019-02-07 11:22:36+00:00,HIGH,10.0,CRITICAL,9.8
CVE-2019-2324,2019-09-03 00:00:00,2019-09-01,qualcomm components,2019-11-06,2019-11-06,2019-01-15 23:49:59+00:00,2019-03-23 13:58:28+00:00,HIGH,10.0,CRITICAL,9.8
